Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-05-07,112.00002,116.00002,110.00519,110.99744,27324
2018-05-08,112.00002,113.49873,106.00519,110.00519,26735
2018-05-09,110.00519,113.00261,108.00002,112.49615,22378
2018-05-10,113.00261,128.49615,113.00261,128.00003,77977
2018-05-11,133.99486,150.99745,129.99486,149.00261,80404
2018-05-14,152.49615,163.50391,137.49874,146.50132,114441
2018-05-15,148.00003,148.00003,139.00778,144.49615,26003
2018-05-16,145.00261,172.99228,145.00261,169.00262,69968
2018-05-17,172.00003,172.99228,139.5039,142.0052,109790
2018-05-18,155.49357,156.00003,136.99228,146.0052,85090
2018-05-21,165.00262,169.99487,153.99486,159.50391,95400
2018-05-22,163.50391,172.00003,162.0052,172.00003,84939
2018-05-23,171.49357,184.00004,169.00262,178.0052,93874
2018-05-24,178.0052,181.00262,169.99487,177.00262,60120
2018-05-25,177.00262,181.00262,172.00003,175.00779,40491
2018-05-28,180.00004,182.99745,170.99745,172.99228,63063
2018-05-29,178.99745,179.50391,148.49615,150.99745,120810
2018-05-30,120.00002,136.00003,112.00002,116.99227,207092
2018-06-01,118.99744,118.99744,98.40002,110.00519,200670
2018-06-04,112.49615,135.49357,112.49615,134.99744,116360
2018-06-05,141.00261,145.00261,133.99486,141.00261,78232
2018-06-06,136.99228,141.00261,127.5039,134.99744,78430
2018-06-07,136.00003,137.49874,129.99486,133.49873,22650
2018-06-08,131.49357,133.00261,121.49873,123.00778,31093
2018-06-11,123.00778,128.00003,112.00002,126.99744,69080
2018-06-12,129.00261,131.49357,122.50132,124.00002,20394
2018-06-13,126.00519,126.00519,120.00002,122.00519,12039
2018-06-14,121.49873,136.49615,120.00002,134.99744,41829
2018-06-15,138.0052,138.0052,132.00003,132.00003,36975
2018-06-18,133.99486,136.00003,128.49615,129.99486,22321
2018-06-19,128.00003,128.00003,124.00002,126.00519,16032
2018-06-20,125.00261,128.00003,122.50132,128.00003,14563
2018-06-21,127.5039,129.49873,123.00778,124.50648,11568
2018-06-22,125.00261,125.00261,118.99744,121.49873,15258
2018-06-25,122.00519,122.00519,115.49356,119.5039,11878
2018-06-26,119.5039,120.00002,114.99744,114.99744,22910
2018-06-27,113.00261,114.99744,108.00002,114.99744,32999
2018-06-28,114.99744,132.00003,114.99744,125.00261,29263
2018-06-29,126.99744,132.00003,126.00519,129.99486,26906
2018-07-02,129.00261,132.00003,124.00002,126.00519,18697
2018-07-03,127.5039,127.5039,124.00002,126.99744,3795
2018-07-04,128.49615,133.99486,126.99744,131.49357,15688
2018-07-05,131.49357,133.99486,130.50132,132.00003,8121
2018-07-06,136.00003,137.49874,128.00003,128.49615,28961
2018-07-09,128.00292,128.99613,119.9964,125.00301,12974
2018-07-10,126.99957,126.99957,120.99975,125.00301,24500
2018-07-11,125.00301,125.00301,120.50315,123.50306,8522
2018-07-12,122.99631,125.00301,122.49971,123.99966,7592
2018-07-13,123.99966,125.00301,120.99975,122.0031,16260
2018-07-16,122.49971,123.99966,120.99975,122.0031,11473
2018-07-17,122.0031,138.99921,122.0031,137.99587,63641
2018-07-18,137.49926,137.49926,125.00301,125.99622,57562
2018-07-19,127.49618,132.50279,125.99622,129.99948,16079
2018-07-20,131.49944,134.99596,127.49618,128.99613,24672
2018-07-23,137.00265,138.99921,134.49935,138.99921,56102
2018-07-24,140.99578,155.00211,140.99578,149.00229,90636
2018-07-25,149.4989,155.99533,147.99894,154.49537,43196
2018-07-26,156.99867,156.99867,147.50234,152.0022,26091
2018-07-27,150.99885,163.4951,150.99885,162.99849,60126
2018-07-30,164.99506,174.00492,164.99506,171.99822,51848
2018-07-31,172.50497,174.99813,164.00184,164.49845,35094
2018-08-01,160.49519,167.99497,156.99867,164.00184,26591
2018-08-02,164.49845,168.99831,161.00193,166.49501,12914
2018-08-03,165.9984,165.9984,159.50198,161.00193,22847
2018-08-06,158.99524,167.00175,158.99524,164.99506,21442
2018-08-07,165.5018,172.50497,164.99506,170.00166,21531
2018-08-08,170.00166,171.99822,165.9984,167.00175,20231
2018-08-09,171.00501,171.99822,167.99497,171.99822,22282
2018-08-10,170.00166,171.00501,164.99506,166.49501,19661
2018-08-13,165.5018,171.00501,164.99506,171.00501,16846
2018-08-14,171.50162,171.50162,161.49854,164.00184,28988
2018-08-16,153.99876,162.50189,146.49899,160.49519,57487
2018-08-17,160.49519,162.99849,155.00211,162.50189,23732
2018-08-20,162.50189,162.99849,158.49863,158.49863,9936
2018-08-21,161.00193,161.00193,156.99867,161.00193,9449
2018-08-22,161.00193,161.00193,156.99867,158.49863,6801
2018-08-23,158.99524,158.99524,155.49872,156.99867,5128
2018-08-24,157.49528,158.00202,155.99533,156.99867,2257
2018-08-27,156.99867,159.99858,152.0022,152.0022,19853
2018-08-28,149.99551,152.0022,147.99894,150.50225,13559
2018-08-29,149.99551,149.99551,146.00238,148.49555,15795
2018-08-30,147.50234,153.99876,146.49899,153.50216,10647
2018-08-31,152.99542,155.00211,146.9956,152.0022,12093
